species	compartment	IC_Xinitialized	HGNC	Annotation
pFFrFr_PLCg	Cytoplasm	1.29E-17	"FGF1, FGF2, FGFR1, FGFR2, PLCG1, PLCG2"	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000124181 ENSG00000197943
pIIrIr_IRS_PLCg	Cytoplasm	2.44E-21	"IGF1, IGF2, IGF1R, PLCG1, PLCG2"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000124181 ENSG00000197943
pINS_Isr_Isr_IRS_PLCg	Cytoplasm	7.53E-19	"INS, INSR, PLCG1, PLCG2"	ENSG00000254647 ENSG00000171105 ENSG00000124181 ENSG00000197943
pIIrIrI_IRS_PLCg	Cytoplasm	3.83E-40	"IGF1, IGF2, IGF1R, PLCG1, PLCG2"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000124181 ENSG00000197943
pINS_Isr_Isr_INS_IRS_PLCg	Cytoplasm	1.18E-29	"INS, INSR, PLCG1, PLCG2"	ENSG00000254647 ENSG00000171105 ENSG00000124181 ENSG00000197943
pEE1E2_PI3K1	Cytoplasm	2.28E-17	"EGF, EGFR, ERBB2, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1Ev3_PI3K1	Cytoplasm	2.97E-28	"EGF, EGFR, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000138798 ENSG00000146648 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1E1_PI3K1	Cytoplasm	2.84E-17	"EGF, EGFR, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R5"	ENSG00000138798 ENSG00000146648 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1EE1_PI3K1	Cytoplasm	0.00E+00	"EGF, EGFR, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R6"	ENSG00000138798 ENSG00000146648 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1E3_PI3K1	Cytoplasm	2.59E-17	"EGF, EGFR, ERBB3, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000138798 ENSG00000146648 ENSG00000065361 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1HE3_PI3K1	Cytoplasm	1.35E-32	"EGF, EGFR, NRG1, ERBB3, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1E4_PI3K1	Cytoplasm	6.05E-28	"EGF, EGFR, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000138798 ENSG00000146648 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1HE4_PI3K1	Cytoplasm	1.04E-43	"EGF, EGFR, NRG1, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pE2HE3_PI3K1	Cytoplasm	1.86E-16	"ERBB2, NRG1, ERBB3, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000141736 ENSG00000157168 ENSG00000065361 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHE3Ev3_PI3K1	Cytoplasm	2.06E-27	"NRG1, ERBB3, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000157168 ENSG00000065361 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pE1HE3_PI3K1	Cytoplasm	1.79E-15	"EGFR, NRG1, ERBB3, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHE3E4_PI3K1	Cytoplasm	2.18E-27	"NRG1, ERBB3, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHE3HE4_PI3K1	Cytoplasm	8.03E-43	"NRG1, ERBB3, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pE2HE4_PI3K1	Cytoplasm	1.18E-28	"ERBB2, NRG1, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000141736 ENSG00000157168 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHE4Ev3_PI3K1	Cytoplasm	9.30E-40	"NRG1, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000157168 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pE1HE4_PI3K1	Cytoplasm	8.13E-28	"EGFR, NRG1, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pE3HE4_PI3K1	Cytoplasm	9.17E-28	"ERBB3, NRG1, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000065361 ENSG00000157168 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHE4E4_PI3K1	Cytoplasm	2.96E-40	"NRG1, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000157168 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHE4HE4_PI3K1	Cytoplasm	0.00E+00	"NRG1, ERBB4, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000157168 ENSG00000178568 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHGF_Met_Met_PI3K1	Cytoplasm	9.68E-14	"HGF, MET, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000019991 ENSG00000105976 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pHGF_Met_HGF_Met_PI3K1	Cytoplasm	1.69E-27	"HGF, MET, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000019991 ENSG00000105976 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pPPrPPr_PI3K1	Cytoplasm	2.86E-31	"PDGFB, PDGFRA, PDGFRB, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pPPrPr_PI3K1	Cytoplasm	7.97E-25	"PDGFB, PDGFRA, PDGFRB, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pFFrFFr_PI3K1	Cytoplasm	3.42E-30	"FGF1, FGF2, FGFR1, FGFR2, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pFFrFr_PI3K1	Cytoplasm	2.27E-16	"FGF1, FGF2, FGFR1, FGFR2, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pIIrIr_IRS_PI3K1	Cytoplasm	1.12E-19	"IGF1, IGF2, IGF1R, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pINS_Isr_Isr_IRS_PI3K1	Cytoplasm	2.05E-17	"INS, INSR, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000254647 ENSG00000171105 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pIIrIrI_IRS_PI3K1	Cytoplasm	1.79E-38	"IGF1, IGF2, IGF1R, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pINS_Isr_Isr_INS_IRS_PI3K1	Cytoplasm	3.24E-28	"INS, INSR, PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4"	ENSG00000254647 ENSG00000171105 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455
pEE1E2_PI3K2	Cytoplasm	1.96E-17	"EGF, EGFR, ERBB2, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000011405
pEE1Ev3_PI3K2	Cytoplasm	2.40E-28	"EGF, EGFR, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000011405
pEE1E1_PI3K2	Cytoplasm	2.44E-17	"EGF, EGFR, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000011405
pEE1EE1_PI3K2	Cytoplasm	0.00E+00	"EGF, EGFR, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000011405
pEE1E3_PI3K2	Cytoplasm	2.23E-17	"EGF, EGFR, ERBB3, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000065361 ENSG00000011405
pEE1HE3_PI3K2	Cytoplasm	1.16E-32	"EGF, EGFR, NRG1, ERBB3, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000011405
pEE1E4_PI3K2	Cytoplasm	2.67E-28	"EGF, EGFR, ERBB4, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000178568 ENSG00000011405
pEE1HE4_PI3K2	Cytoplasm	8.42E-44	"EGF, EGFR, NRG1, ERBB4, PIK3C2A"	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000011405
pE2HE3_PI3K2	Cytoplasm	1.59E-16	"ERBB2, NRG1, ERBB3, PIK3C2A"	ENSG00000141736 ENSG00000157168 ENSG00000065361 ENSG00000011405
pHE3Ev3_PI3K2	Cytoplasm	1.77E-27	"NRG1, ERBB3, PIK3C2A"	ENSG00000157168 ENSG00000065361 ENSG00000011405
pE1HE3_PI3K2	Cytoplasm	1.54E-15	"EGFR, NRG1, ERBB3, PIK3C2A"	ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000011405
pHE3E4_PI3K2	Cytoplasm	1.42E-27	"NRG1, ERBB3, ERBB4, PIK3C2A"	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000011405
pHE3HE4_PI3K2	Cytoplasm	7.96E-43	"NRG1, ERBB3, ERBB4, PIK3C2A"	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000011405
pE2HE4_PI3K2	Cytoplasm	9.52E-29	"ERBB2, NRG1, ERBB4, PIK3C2A"	ENSG00000141736 ENSG00000157168 ENSG00000178568 ENSG00000011405
pHE4Ev3_PI3K2	Cytoplasm	7.96E-40	"NRG1, ERBB4, PIK3C2A"	ENSG00000157168 ENSG00000178568 ENSG00000011405
pE1HE4_PI3K2	Cytoplasm	6.98E-28	"EGFR, NRG1, ERBB4, PIK3C2A"	ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000011405
pE3HE4_PI3K2	Cytoplasm	5.60E-28	"ERBB3, NRG1, ERBB4, PIK3C2A"	ENSG00000065361 ENSG00000157168 ENSG00000178568 ENSG00000011405
pHE4E4_PI3K2	Cytoplasm	2.49E-40	"NRG1, ERBB4, PIK3C2A"	ENSG00000157168 ENSG00000178568 ENSG00000011405
pHE4HE4_PI3K2	Cytoplasm	0.00E+00	"NRG1, ERBB4, PIK3C2A"	ENSG00000157168 ENSG00000178568 ENSG00000011405
pHGF_Met_Met_PI3K2	Cytoplasm	8.31E-14	"HGF, MET, PIK3C2A"	ENSG00000019991 ENSG00000105976 ENSG00000011405
pHGF_Met_HGF_Met_PI3K2	Cytoplasm	1.43E-27	"HGF, MET, PIK3C2A"	ENSG00000019991 ENSG00000105976 ENSG00000011405
pPPrPPr_PI3K2	Cytoplasm	1.74E-31	"PDGFB, PDGFRA, PDGFRB, PIK3C2A"	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000011405
pPPrPr_PI3K2	Cytoplasm	6.70E-25	"PDGFB, PDGFRA, PDGFRB, PIK3C2A"	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000011405
pFFrFFr_PI3K2	Cytoplasm	2.30E-30	"FGF1, FGF2, FGFR1, FGFR2, PIK3C2A"	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000011405
pFFrFr_PI3K2	Cytoplasm	1.94E-16	"FGF1, FGF2, FGFR1, FGFR2, PIK3C2A"	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000011405
pIIrIr_IRS_PI3K2	Cytoplasm	9.69E-20	"IGF1, IGF2, IGF1R, PIK3C2A"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000011405
pINS_Isr_Isr_IRS_PI3K2	Cytoplasm	1.77E-17	"INS, INSR, PIK3C2A"	ENSG00000254647 ENSG00000171105 ENSG00000011405
pIIrIrI_IRS_PI3K2	Cytoplasm	1.52E-38	"IGF1, IGF2, IGF1R, PIK3C2A"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000011405
pINS_Isr_Isr_INS_IRS_PI3K2	Cytoplasm	2.76E-28	"INS, INSR, PIK3C2A"	ENSG00000254647 ENSG00000171105 ENSG00000011405
pEE1E2int_G2_SOS_RasD	Cytoplasm	1.10E-19	"EGF, EGFR, ERBB2, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1Ev3int_G2_SOS_RasD	Cytoplasm	5.46E-30	"EGF, EGFR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1E1int_G2_SOS_RasD	Cytoplasm	4.22E-19	"EGF, EGFR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1EE1int_G2_SOS_RasD	Cytoplasm	0.00E+00	"EGF, EGFR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1E3int_G2_SOS_RasD	Cytoplasm	4.44E-20	"EGF, EGFR, ERBB3, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000065361 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1HE3int_G2_SOS_RasD	Cytoplasm	2.31E-35	"EGF, EGFR, NRG1, ERBB3, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1E4int_G2_SOS_RasD	Cytoplasm	1.18E-30	"EGF, EGFR, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1HE4int_G2_SOS_RasD	Cytoplasm	5.85E-46	"EGF, EGFR, NRG1, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pE2HE3int_G2_SOS_RasD	Cytoplasm	2.49E-20	"ERBB2, NRG1, ERBB3, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000141736 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHE3Ev3int_G2_SOS_RasD	Cytoplasm	3.80E-31	"NRG1, ERBB3, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pE1HE3int_G2_SOS_RasD	Cytoplasm	3.07E-18	"EGFR, NRG1, ERBB3, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHE3E4int_G2_SOS_RasD	Cytoplasm	3.58E-31	"NRG1, ERBB3, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHE3HE4int_G2_SOS_RasD	Cytoplasm	1.54E-46	"NRG1, ERBB3, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pE2HE4int_G2_SOS_RasD	Cytoplasm	4.29E-32	"ERBB2, NRG1, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000141736 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHE4Ev3int_G2_SOS_RasD	Cytoplasm	5.85E-43	"NRG1, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pE1HE4int_G2_SOS_RasD	Cytoplasm	4.98E-30	"EGFR, NRG1, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pE3HE4int_G2_SOS_RasD	Cytoplasm	1.21E-31	"ERBB3, NRG1, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000065361 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHE4E4int_G2_SOS_RasD	Cytoplasm	1.32E-43	"NRG1, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHE4HE4int_G2_SOS_RasD	Cytoplasm	0.00E+00	"NRG1, ERBB4, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHGF_Met_Metint_G2_SOS_RasD	Cytoplasm	7.43E-18	"HGF, MET, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000019991 ENSG00000105976 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pHGF_Met_HGF_Metint_G2_SOS_RasD	Cytoplasm	2.63E-31	"HGF, MET, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000019991 ENSG00000105976 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pPPrPPrint_G2_SOS_RasD	Cytoplasm	3.44E-31	"PDGFB, PDGFRA, PDGFRB, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pPPrPrint_G2_SOS_RasD	Cytoplasm	5.47E-29	"PDGFB, PDGFRA, PDGFRB, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pFFrFFrint_G2_SOS_RasD	Cytoplasm	1.11E-33	"FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pFFrFrint_G2_SOS_RasD	Cytoplasm	2.61E-20	"FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pIIrIr_int_IRS_G2_SOS_RasD	Cytoplasm	5.13E-23	"IGF1, IGF2, IGF1R, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pINS_Isr_Isr_int_IRS_G2_SOS_RasD	Cytoplasm	1.37E-20	"INS, INSR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000254647 ENSG00000171105 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pIIrIrI_int_IRS_G2_SOS_RasD	Cytoplasm	2.38E-40	"IGF1, IGF2, IGF1R, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pINS_Isr_Isr_INS_int_IRS_G2_SOS_RasD	Cytoplasm	2.45E-29	"INS, INSR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000254647 ENSG00000171105 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1E2_G2_SOS_RasD	Cytoplasm	1.55E-18	"EGF, EGFR, ERBB2, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1Ev3_G2_SOS_RasD	Cytoplasm	8.49E-29	"EGF, EGFR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1E1_G2_SOS_RasD	Cytoplasm	4.27E-18	"EGF, EGFR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1EE1_G2_SOS_RasD	Cytoplasm	0.00E+00	"EGF, EGFR, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1E3_G2_SOS_RasD	Cytoplasm	6.24E-19	"EGF, EGFR, ERBB3, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000065361 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
pEE1HE3_G2_SOS_RasD	Cytoplasm	3.25E-34	"EGF, EGFR, NRG1, ERBB3, GRB2, SOS1, NRAS, KRAS, HRAS"	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904 ENSG00000213281 ENSG00000133703 ENSG00000174775
